tripduration (s),tripduration (m/s),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Age 
191,3.18,18:33.8,21:45.4,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42555,Subscriber,1988,Male,32
340,5.67,23:17.4,28:57.8,3214,Essex Light Rail,40.7127742,-74.0364857,3187,Warren St,40.7211236,-74.03805095,42385,Subscriber,1984,Male,36
2017,33.62,23:17.4,56:55.3,3191,Union St,40.7182113,-74.0836394,3677,Glenwood Ave,40.72755147,-74.07106072,42529,Subscriber,1977,Male,43
1919,31.98,23:27.0,55:26.1,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.71241882,-74.03852552,42540,Subscriber,1977,Female,43
633,10.55,26:04.4,36:37.8,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42115,Customer,1969,Unknown,51
366,6.1,30:45.1,36:51.2,3213,Van Vorst Park,40.71848892,-74.04772663,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,32139,Subscriber,1987,Male,33
989,16.48,37:36.1,54:05.3,3201,Dey St,40.737711,-74.066921,3184,Paulus Hook,40.7141454,-74.0335519,27808,Subscriber,1962,Male,58
116,1.93,45:41.5,47:37.6,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42258,Subscriber,1992,Female,28
1545,25.75,47:59.3,13:44.5,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42392,Subscriber,1992,Female,28
2292,38.2,49:56.6,28:09.3,3220,5 Corners Library,40.73496102,-74.05950308,3640,Journal Square,40.73367,-74.0625,42308,Subscriber,1969,Unknown,51
961,16.02,52:09.6,08:10.6,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,42287,Subscriber,1969,Male,51
3892,64.87,53:30.1,58:22.3,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42586,Customer,1969,Unknown,51
671,11.18,54:43.7,05:54.8,3199,Newport Pkwy,40.7287448,-74.0321082,3483,Montgomery St,40.71942,-74.05099,42446,Subscriber,1986,Female,34
909,15.15,56:18.4,11:27.5,3267,Morris Canal,40.71241882,-74.03852552,3278,Monmouth and 6th,40.72568548,-74.04879034,42540,Subscriber,1977,Female,43
